2026-03-14 20:48:50 | INFO     | BruteForce           |   Target         : http://127.0.0.1:9999/login:80
2026-03-14 20:48:50 | INFO     | BruteForce           |   Duration       : 5.14 s
2026-03-14 20:48:50 | INFO     | BruteForce           |   Packets sent   : 2
2026-03-14 20:48:50 | INFO     | BruteForce           |   Connections    : 2
2026-03-14 20:48:50 | INFO     | BruteForce           |   Bytes sent     : 0
2026-03-14 20:48:50 | INFO     | BruteForce           |   Errors         : 2
2026-03-14 20:48:50 | INFO     | BruteForce           | ============================================================
2026-03-14 20:48:50 | INFO     | controller           | Simulation finished.  Logs saved to logs/attack_simulation.log
2026-03-14 20:49:00 | INFO     | controller           | Mode: flood  |  Target: http://127.0.0.1:9999:80  |  Duration: 3s
2026-03-14 20:49:04 | INFO     | TrafficFlood         | Stop signal received — shutting down …
2026-03-14 20:49:05 | INFO     | TrafficFlood         | Flood complete — 20 requests sent, 20 errors
2026-03-14 20:49:05 | INFO     | TrafficFlood         | ============================================================
2026-03-14 20:49:05 | INFO     | TrafficFlood         |   SIMULATION SUMMARY — TrafficFlood
2026-03-14 20:49:05 | INFO     | TrafficFlood         | ============================================================
2026-03-14 20:49:05 | INFO     | TrafficFlood         |   Target         : http://127.0.0.1:9999:80
2026-03-14 20:49:05 | INFO     | TrafficFlood         |   Duration       : 4.50 s
2026-03-14 20:49:05 | INFO     | TrafficFlood         |   Packets sent   : 20
2026-03-14 20:49:05 | INFO     | TrafficFlood         |   Connections    : 0
2026-03-14 20:49:05 | INFO     | TrafficFlood         |   Bytes sent     : 0
2026-03-14 20:49:05 | INFO     | TrafficFlood         |   Errors         : 20
2026-03-14 20:49:05 | INFO     | TrafficFlood         | ============================================================
2026-03-14 20:49:05 | INFO     | controller           | Simulation finished.  Logs saved to logs/attack_simulation.log
2026-03-16 17:30:42 | INFO     | controller           | Mode: portscan  |  Target: 10.145.32.6:80  |  Duration: 30s
2026-03-16 17:30:42 | INFO     | PortScan             | Starting FAST port scan on 10.145.32.6  |  ports: 10  |  speed: fast
2026-03-16 17:30:42 | INFO     | PortScan             | Port    21 — OPEN
2026-03-16 17:30:42 | INFO     | PortScan             | Port    22 — OPEN
2026-03-16 17:30:42 | INFO     | PortScan             | Port    23 — OPEN
2026-03-16 17:30:45 | DEBUG    | PortScan             | Port    80 — closed / filtered
2026-03-16 17:30:45 | INFO     | PortScan             | Port   443 — OPEN
2026-03-16 17:30:45 | INFO     | PortScan             | Port   445 — OPEN
2026-03-16 17:30:45 | INFO     | PortScan             | Port  3306 — OPEN
2026-03-16 17:30:45 | INFO     | PortScan             | Port  5000 — OPEN
2026-03-16 17:30:45 | INFO     | PortScan             | Port  8080 — OPEN
2026-03-16 17:30:45 | INFO     | PortScan             | Port  8443 — OPEN
2026-03-16 17:30:45 | INFO     | PortScan             | Scan complete — 9 open port(s) found out of 10 probed
2026-03-16 17:30:45 | INFO     | PortScan             | ============================================================
2026-03-16 17:30:45 | INFO     | PortScan             |   SIMULATION SUMMARY — PortScan
2026-03-16 17:30:45 | INFO     | PortScan             | ============================================================
2026-03-16 17:30:45 | INFO     | PortScan             |   Target         : 10.145.32.6:80
2026-03-16 17:30:45 | INFO     | PortScan             |   Duration       : 2.61 s
2026-03-16 17:30:45 | INFO     | PortScan             |   Packets sent   : 10
2026-03-16 17:30:45 | INFO     | PortScan             |   Connections    : 10
2026-03-16 17:30:45 | INFO     | PortScan             |   Bytes sent     : 0
2026-03-16 17:30:45 | INFO     | PortScan             |   Errors         : 0
2026-03-16 17:30:45 | INFO     | PortScan             | ============================================================
2026-03-16 17:30:45 | INFO     | controller           | Simulation finished.  Logs saved to logs/attack_simulation.log
2026-03-16 17:30:45 | INFO     | controller           | Mode: brute  |  Target: http://10.145.32.6:5000/login:80  |  Duration: 30s
2026-03-16 17:30:46 | INFO     | BruteForce           | Starting brute-force against http://10.145.32.6:5000/login  |  username: admin  |  wordlist: 49 entries
2026-03-16 17:31:16 | INFO     | BruteForce           | Stopping early (stopped=False, timeout=True)
2026-03-16 17:31:16 | INFO     | BruteForce           | Brute-force complete — 39 attempt(s), 0 possible hit(s)
2026-03-16 17:31:16 | INFO     | BruteForce           | ============================================================
2026-03-16 17:31:16 | INFO     | BruteForce           |   SIMULATION SUMMARY — BruteForce
2026-03-16 17:31:16 | INFO     | BruteForce           | ============================================================
2026-03-16 17:31:16 | INFO     | BruteForce           |   Target         : http://10.145.32.6:5000/login:80
2026-03-16 17:31:16 | INFO     | BruteForce           |   Duration       : 30.03 s
2026-03-16 17:31:16 | INFO     | BruteForce           |   Packets sent   : 39
2026-03-16 17:31:16 | INFO     | BruteForce           |   Connections    : 39
2026-03-16 17:31:16 | INFO     | BruteForce           |   Bytes sent     : 1199
2026-03-16 17:31:16 | INFO     | BruteForce           |   Errors         : 0
2026-03-16 17:31:16 | INFO     | BruteForce           | ============================================================
2026-03-16 17:31:16 | INFO     | controller           | Simulation finished.  Logs saved to logs/attack_simulation.log
2026-03-16 17:31:17 | INFO     | controller           | Mode: flood  |  Target: http://10.145.32.6:5000:80  |  Duration: 30s
2026-03-16 17:31:47 | INFO     | TrafficFlood         | Stop signal received — shutting down …
2026-03-16 17:31:47 | INFO     | TrafficFlood         | Flood complete — 2123 requests sent, 0 errors
2026-03-16 17:31:47 | INFO     | TrafficFlood         | ============================================================
2026-03-16 17:31:47 | INFO     | TrafficFlood         |   SIMULATION SUMMARY — TrafficFlood
2026-03-16 17:31:47 | INFO     | TrafficFlood         | ============================================================
2026-03-16 17:31:47 | INFO     | TrafficFlood         |   Target         : http://10.145.32.6:5000:80
2026-03-16 17:31:47 | INFO     | TrafficFlood         |   Duration       : 30.14 s
2026-03-16 17:31:47 | INFO     | TrafficFlood         |   Packets sent   : 2123
2026-03-16 17:31:47 | INFO     | TrafficFlood         |   Connections    : 2123
2026-03-16 17:31:47 | INFO     | TrafficFlood         |   Bytes sent     : 0
2026-03-16 17:31:47 | INFO     | TrafficFlood         |   Errors         : 0
2026-03-16 17:31:47 | INFO     | TrafficFlood         | ============================================================
2026-03-16 17:31:47 | INFO     | controller           | Simulation finished.  Logs saved to logs/attack_simulation.log
2026-03-16 17:31:48 | INFO     | controller           | Mode: exfil  |  Target: 10.145.32.6:5000  |  Duration: 30s
2026-03-16 17:31:48 | DEBUG    | DataExfil            | HTTP send error: HTTP Error 405: METHOD NOT ALLOWED
2026-03-16 17:31:48 | WARNING  | DataExfil            | Chunk 1/50 FAILED
2026-03-16 17:31:49 | DEBUG    | DataExfil            | HTTP send error: HTTP Error 405: METHOD NOT ALLOWED
